"sample_row_id","source_row","c","calib_10","calib_25","calib_50"
1,1095,1,0,0,1
2,2656,1,0,1,1
3,2847,1,0,0,0
4,4615,1,0,0,0
5,5640,1,1,1,1
6,5771,1,0,0,0
7,273,2,0,0,0
8,1413,2,0,0,0
9,2078,2,0,0,0
10,2245,2,0,0,1
11,2305,2,0,0,0
12,2319,2,0,0,0
13,2329,2,0,0,0
14,2734,2,0,0,0
15,2762,2,0,0,1
16,2777,2,1,1,1
17,2818,2,0,1,1
18,2915,2,0,1,1
19,2963,2,0,0,0
20,2974,2,0,0,0
21,3091,2,0,0,1
22,3453,2,0,1,1
23,6298,2,0,0,0
24,6471,2,0,0,1
25,6720,2,1,1,1
26,7458,2,0,0,1
27,700,3,0,0,0
28,1423,3,0,0,0
29,1608,3,0,0,1
30,1815,3,0,0,1
31,2486,3,0,0,0
32,2586,3,0,0,0
33,2672,3,0,1,1
34,3260,3,0,1,1
35,3367,3,1,1,1
36,3598,3,0,0,0
37,6301,3,1,1,1
38,6436,3,0,0,1
39,7053,3,0,0,0
40,483,4,0,0,0
41,607,4,0,1,1
42,1532,4,0,1,1
43,1740,4,0,0,0
44,1888,4,0,0,0
45,1904,4,0,1,1
46,2286,4,0,0,1
47,2386,4,0,0,0
48,2487,4,0,0,1
49,3295,4,0,0,1
50,3441,4,0,0,0
51,4591,4,1,1,1
52,4592,4,0,0,0
53,5773,4,0,0,1
54,5786,4,0,1,1
55,5787,4,0,0,0
56,5883,4,0,0,1
57,6597,4,0,0,0
58,6599,4,0,0,0
59,6649,4,0,0,1
60,7168,4,1,1,1
61,7242,4,0,0,0
62,7465,4,0,0,0
63,7541,4,0,0,0
64,639,5,0,0,1
65,1257,5,0,0,0
66,1697,5,0,0,0
67,2000,5,0,0,0
68,2275,5,0,0,0
69,2428,5,0,0,1
70,4295,5,0,1,1
71,4296,5,0,0,0
72,4673,5,0,0,1
73,5875,5,0,0,0
74,6008,5,0,0,1
75,6075,5,0,0,0
76,6122,5,0,0,0
77,6758,5,1,1,1
78,6896,5,0,1,1
79,297,6,0,0,1
80,322,6,0,0,0
81,964,6,0,1,1
82,1037,6,0,0,0
83,1247,6,0,1,1
84,1663,6,0,0,0
85,1847,6,1,1,1
86,2276,6,0,1,1
87,2420,6,0,0,0
88,2540,6,0,0,0
89,2548,6,0,0,1
90,5646,6,0,0,0
91,5967,6,0,0,1
92,5997,6,0,0,0
93,6211,6,0,0,1
94,6325,6,0,0,1
95,6337,6,0,0,0
96,6423,6,0,0,0
97,6797,6,1,1,1
98,7017,6,0,0,0
99,7040,6,0,0,0
100,7041,6,0,0,1
